"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P19525","PKR","EIF2AK2","Kinase","2","0.523","0.229","2.282","0.0225","0.0479"
"P57059","SIK","SIK1","Kinase","4","0.785","0.348","2.257","0.0240","0.0507"
"O96013","PAK4","PAK4","Kinase","3","0.432","0.193","2.236","0.0254","0.0532"
"Q9H0K1","QIK","SIK2","Kinase","2","0.528","0.239","2.212","0.0269","0.0560"
"Q9BYP7","WNK3","WNK3","Kinase","3","0.542","0.252","2.149","0.0317","0.0653"
"Q8IZL9","CDK20","CDK20","Kinase","1","0.472","0.22","2.146","0.0319","0.0653"
"Q13233","MEKK1","MAP3K1","Kinase","1","0.164","0.077","2.128","0.0333","0.0677"
"Q9Y6M4","CK1G3","CSNK1G3","Kinase","2","0.501","0.236","2.118","0.0342","0.0689"
"Q9NRM7","LATS2","LATS2","Kinase","3","0.602","0.286","2.103","0.0354","0.0709"
"Q9Y2U5","MEKK2","MAP3K2","Kinase","1","0.334","0.159","2.1","0.0357","0.0709"
"P53355","DAPK1","DAPK1","Kinase","3","0.419","0.2","2.096","0.0360","0.0710"
"P24941","CDK2","CDK2","Kinase","207","0.114","0.055","2.083","0.0373","0.0729"
"Q15349","RSK3","RPS6KA2","Kinase","4","0.388","0.193","2.018","0.0436","0.0846"
"Q00535","CDK5","CDK5","Kinase","44","0.171","0.086","1.999","0.0456","0.0879"
"O75116","ROCK2","ROCK2","Kinase","5","0.294","0.15","1.955","0.0506","0.0967"
"Q02779","MLK2","MAP3K10","Kinase","1","1.275","0.655","1.946","0.0517","0.0981"
"Q16659","ERK3","MAPK6","Kinase","3","0.538","0.277","1.943","0.0520","0.0981"
"O76039","CDKL5","CDKL5","Kinase","10","0.514","0.268","1.917","0.0552","0.103"
"Q15139","PRKD1","PRKD1","Kinase","24","0.258","0.137","1.879","0.0602","0.112"
"Q9P289","MST4","STK26","Kinase","2","0.654","0.35","1.868","0.0617","0.114"
"Q12851","GCK","MAP4K2","Kinase","1","0.312","0.169","1.841","0.0656","0.119"
"Q92918","HPK1","MAP4K1","Kinase","1","0.312","0.169","1.841","0.0656","0.119"
"P48730","CK1D","CSNK1D","Kinase","3","0.349","0.192","1.814","0.0697","0.126"
