"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q15300","Ret iso3","RET","Kinase","1","0.946","0.113","8.351","6.78e-17","5.67e-16"
"Q9UM73","ALK","ALK","Kinase","1","0.946","0.113","8.351","6.78e-17","5.67e-16"
"P51617","IRAK1","IRAK1","Kinase","1","0.866","0.105","8.227","1.92e-16","1.50e-15"
"Q13233","MEKK1","MAP3K1","Kinase","1","0.866","0.105","8.227","1.92e-16","1.50e-15"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","11","1.59","0.195","8.144","3.83e-16","2.89e-15"
"Q9P1W9","Pim2","PIM2","Kinase","3","0.945","0.116","8.117","4.76e-16","3.47e-15"
"Q05513","PKCZ","PRKCZ","Kinase","8","1.006","0.124","8.103","5.34e-16","3.77e-15"
"Q13237","PKG2","PRKG2","Kinase","2","1.526","0.191","7.992","1.33e-15","9.09e-15"
"Q7KZI7","MARK2","MARK2","Kinase","7","1.888","0.241","7.845","4.32e-15","2.87e-14"
"P16591","Fer","FER","Kinase","2","0.941","0.12","7.823","5.15e-15","3.33e-14"
"P23443","p70S6K","RPS6KB1","Kinase","9","1.217","0.161","7.566","3.86e-14","2.42e-13"
"Q9HBY8","SGK2","SGK2","Kinase","1","1.609","0.213","7.554","4.21e-14","2.57e-13"
"O75582","MSK1","RPS6KA5","Kinase","5","0.959","0.128","7.525","5.29e-14","3.15e-13"
"Q05655","PKCD","PRKCD","Kinase","18","0.868","0.116","7.461","8.60e-14","4.98e-13"
"P04049","RAF1","RAF1","Kinase","4","1.195","0.161","7.416","1.21e-13","6.82e-13"
"O15264","P38D","MAPK13","Kinase","10","0.984","0.133","7.381","1.57e-13","8.64e-13"
"Q16644","MAPKAPK3","MAPKAPK3","Kinase","1","1.104","0.151","7.316","2.55e-13","1.37e-12"
"P06239","Lck","LCK","Kinase","6","2.249","0.308","7.31","2.68e-13","1.41e-12"
"P41743","PKCI","PRKCI","Kinase","6","1.13","0.157","7.216","5.36e-13","2.76e-12"
"P30530","AXL","AXL","Kinase","3","1.535","0.218","7.058","1.69e-12","8.51e-12"
"P11309","Pim1","PIM1","Kinase","5","1.017","0.145","7.002","2.52e-12","1.24e-11"
